Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,2021-01-16,18:30,Stuttgart,2.0,2–2,1.4,M'Gladbach,Mercedes-Benz Arena,Felix Brych,Match Report,
16,Sun,2021-01-17,15:30,Bayern Munich,2.7,2–1,0.8,Freiburg,Allianz Arena,Christian Dingert,Match Report,
16,Sun,2021-01-17,18:00,Eint Frankfurt,2.1,3–1,0.2,Schalke 04,Deutsche Bank Park,Manuel Gräfe,Match Report,
17,Tue,2021-01-19,18:30,M'Gladbach,0.6,1–0,1.1,Werder Bremen,Stadion im Borussia-Park,Martin Petersen,Match Report,
17,Tue,2021-01-19,20:30,Leverkusen,1.9,2–1,1.6,Dortmund,BayArena,Felix Zwayer,Match Report,
17,Tue,2021-01-19,20:30,Hertha BSC,1.7,0–3,1.3,Hoffenheim,Olympiastadion Berlin,Harm Osmers,Match Report,
17,Tue,2021-01-19,20:30,Mainz 05,0.7,0–2,1.1,Wolfsburg,Opel Arena,Sören Storks,Match Report,
17,Wed,2021-01-20,18:30,Schalke 04,1.3,1–2,1.6,Köln,Veltins-Arena,Daniel Siebert,Match Report,
17,Wed,2021-01-20,20:30,Augsburg,1.2,0–1,1.7,Bayern Munich,WWK Arena,Matthias Jöllenbeck,Match Report,
17,Wed,2021-01-20,20:30,Arminia,1.8,3–0,1.4,Stuttgart,SchücoArena,Robert Hartmann,Match Report,
17,Wed,2021-01-20,20:30,RB Leipzig,1.6,1–0,0.2,Union Berlin,Red Bull Arena,Markus Schmidt,Match Report,
17,Wed,2021-01-20,20:30,Freiburg,0.8,2–2,1.2,Eint Frankfurt,Schwarzwald-Stadion,Guido Winkmann,Match Report,
18,Fri,2021-01-22,20:30,M'Gladbach,2.0,4–2,1.7,Dortmund,Stadion im Borussia-Park,Manuel Gräfe,Match Report,
18,Sat,2021-01-23,15:30,Mainz 05,1.8,3–2,1.5,RB Leipzig,Opel Arena,Christian Dingert,Match Report,
18,Sat,2021-01-23,15:30,Arminia,0.5,1–5,2.4,Eint Frankfurt,SchücoArena,Robert Schröder,Match Report,
18,Sat,2021-01-23,15:30,Augsburg,1.0,2–1,1.7,Union Berlin,WWK Arena,Felix Brych,Match Report,
18,Sat,2021-01-23,15:30,Freiburg,1.3,2–1,3.1,Stuttgart,Schwarzwald-Stadion,Tobias Stieler,Match Report,
18,Sat,2021-01-23,15:30,Leverkusen,1.3,0–1,1.0,Wolfsburg,BayArena,Marco Fritz,Match Report,
18,Sat,2021-01-23,18:30,Hertha BSC,2.3,1–4,1.5,Werder Bremen,Olympiastadion Berlin,Daniel Schlager,Match Report,
18,Sun,2021-01-24,15:30,Schalke 04,0.9,0–4,3.5,Bayern Munich,Veltins-Arena,Sascha Stegemann,Match Report,
18,Sun,2021-01-24,18:00,Hoffenheim,2.1,3–0,2.1,Köln,PreZero Arena,Sven Jablonski,Match Report,
19,Fri,2021-01-29,20:30,Stuttgart,0.9,2–0,0.4,Mainz 05,Mercedes-Benz Arena,Frank Willenborg,Match Report,
19,Sat,2021-01-30,15:30,Bayern Munich,2.0,4–1,1.9,Hoffenheim,Allianz Arena,Benjamin Cortus,Match Report,
19,Sat,2021-01-30,15:30,Union Berlin,0.8,1–1,0.9,M'Gladbach,Stadion An der Alten Försterei,Bastian Dankert,Match Report,
