Wk,Day,Date,Time,Home,xG_home,Score,xG_away,Away,Attendance,Venue,Referee,Match Report,Notes,comma
19,Thu,2021-01-28,18:45,Sparta R'dam,1.1,0–0,0.5,Twente,,Sparta-Stadion Het Kasteel,Edwin van de Graaf,Match Report,
19,Thu,2021-01-28,21:00,Ajax,2.6,3–1,0.9,Willem II,,Johan Cruyff ArenA,Siemen Mulder,Match Report,
20,Sat,2021-01-30,16:30,Heracles Almelo,1.1,1–0,1.5,Groningen,,Erve Asito,Pol van Boekel,Match Report,
20,Sat,2021-01-30,18:45,Utrecht,2.7,3–3,1.4,Zwolle,,Stadion Galgenwaard,Jannick van der Laan,Match Report,
20,Sat,2021-01-30,20:00,Fortuna Sittard,1.4,3–2,1.0,VVV-Venlo,,Fortuna Sittard Stadion,Serdar Gözübüyük,Match Report,
20,Sat,2021-01-30,21:00,Vitesse,0.5,1–1,0.6,RKC Waalwijk,,GelreDome,Richard Martens,Match Report,
20,Sun,2021-01-31,12:15,Twente,1.6,0–0,0.3,Heerenveen,,De Grolsch Veste,Jeroen Manschot,Match Report,
20,Sun,2021-01-31,14:30,Feyenoord,1.2,3–1,1.8,PSV Eindhoven,,Stadion Feijenoord,Dennis Higler,Match Report,
20,Sun,2021-01-31,14:30,Willem II,1.8,2–0,1.3,Emmen,,Koning Willem II Stadion,Björn Kuipers,Match Report,
20,Sun,2021-01-31,16:45,AZ Alkmaar,2.1,0–3,2.0,Ajax,,AFAS Stadion,Bas Nijhuis,Match Report,
20,Sun,2021-01-31,16:45,ADO Den Haag,0.8,1–1,1.3,Sparta R'dam,,Cars Jeans Stadion,Erwin Blank,Match Report,
21,Fri,2021-02-05,20:00,Fortuna Sittard,1.0,0–1,0.9,Heracles Almelo,,Fortuna Sittard Stadion,Martin Perez,Match Report,
21,Sat,2021-02-06,14:00,Emmen,0.5,0–1,1.3,AZ Alkmaar,,De Oude Meerdijk,Pol van Boekel,Match Report,
21,Sat,2021-02-06,14:00,Zwolle,1.6,1–1,0.7,RKC Waalwijk,,MAC³PARK Stadion,Björn Kuipers,Match Report,
21,Sat,2021-02-06,16:30,PSV Eindhoven,3.0,3–0,0.2,Twente,,Philips Stadion,Siemen Mulder,Match Report,
21,Sat,2021-02-06,16:30,Heerenveen,1.6,1–0,0.7,Vitesse,,Abe Lenstra Stadion,Bas Nijhuis,Match Report,
22,Fri,2021-02-12,18:45,RKC Waalwijk,1.3,1–0,0.6,Emmen,,Mandemakers Stadion,Edwin van de Graaf,Match Report,
22,Sat,2021-02-13,12:00,Groningen,1.5,1–0,0.6,Zwolle,,Hitachi Capital Mobility Stadion,Jeroen Manschot,Match Report,
22,Sat,2021-02-13,14:15,Sparta R'dam,1.6,1–2,2.0,Fortuna Sittard,,Sparta-Stadion Het Kasteel,Martin van den Kerkhof,Match Report,
22,Sat,2021-02-13,16:30,ADO Den Haag,0.6,2–2,5.2,PSV Eindhoven,,Cars Jeans Stadion,Pol van Boekel,Match Report,
